fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_category,quality_label,type_white
0.34693877551020424,0.3999999999999999,0.39215686274509803,0.7477744807121662,0.5,0.7236842105263158,0.8122448979591838,0.7004160887656212,0.4457831325301207,0.30508474576271183,0.2142857142857142,Medium,0.0,True
0.4285714285714286,0.3826086956521738,0.33333333333333337,0.23738872403560835,0.7027027027027026,0.6381578947368421,0.9489795918367349,0.5825242718446617,0.6265060240963858,0.6271186440677965,0.1964285714285714,Medium,0.0,True
0.3877551020408163,0.29565217391304344,0.568627450980392,0.795252225519288,0.8108108108108109,0.5263157894736842,0.6408163265306124,0.8044382801664511,0.9156626506024104,0.40677966101694907,0.2500000000000002,Medium,0.0,True
0.5714285714285714,0.27826086956521734,0.49019607843137253,0.741839762611276,0.5540540540540541,0.3157894736842105,0.7102040816326531,0.7933425797503588,0.3012048192771086,0.5084745762711865,0.125,Medium,0.0,True
0.40816326530612246,0.5043478260869564,0.6862745098039215,0.33827893175074186,0.7027027027027026,0.26315789473684215,0.5836734693877552,0.5478502080443803,0.43373493975903665,0.40677966101694907,0.2142857142857142,Medium,0.0,True
0.20408163265306123,0.5043478260869564,0.4705882352941176,0.029673590504451057,0.2702702702702703,0.2894736842105263,0.3346938775510204,0.09916782246880018,0.4578313253012052,0.27118644067796616,0.5892857142857144,Medium,0.0,True
0.5918367346938775,0.3826086956521738,0.411764705882353,0.5934718100890208,0.4054054054054054,0.381578947368421,0.4612244897959184,0.7454923717059643,0.5662650602409642,0.11864406779661008,0.1607142857142858,Medium,0.0,True
0.7959183673469388,0.7043478260869563,0.45098039215686275,0.20771513353115728,0.22972972972972971,0.2236842105263158,0.38775510204081637,0.30513176144245335,0.2530120481927711,0.2542372881355932,0.7142857142857144,Medium,0.0,True
0.6326530612244898,0.13913043478260867,0.6862745098039215,0.06528189910979229,0.22972972972972971,0.35526315789473684,0.5469387755102042,0.249653259362006,0.2650602409638556,0.9322033898305087,0.7321428571428572,Medium,0.0,True
0.5306122448979591,0.15652173913043477,0.588235294117647,0.4510385756676558,0.25675675675675674,0.5526315789473685,0.4285714285714286,0.36893203883495573,0.4096385542168681,0.30508474576271183,0.7142857142857144,Medium,0.0,True
0.40816326530612246,0.13913043478260867,0.588235294117647,0.08308605341246292,0.4864864864864864,0.2894736842105263,0.5102040816326532,0.37725381414702497,0.6024096385542168,0.6101694915254237,0.375,Medium,0.0,True
